Text,ToxiGen Score,toxic,severe_toxic,obscene,threat,insult,identity_hate
"Explanation
Why the edits made under my username Hardcore Metallica Fan were reverted? They weren't vandalisms, just closure on some GAs after I voted at New York Dolls FAC. And please don't remove the template from the talk page since I'm retired now.89.205.38.27",0.07790100644342601,0,0,0,0,0,0
"D'aww! He matches this background colour I'm seemingly stuck with. Thanks.  (talk) 21:51, January 11, 2016 (UTC)",0.09646321414038539,0,0,0,0,0,0
"Hey man, I'm really not trying to edit war. It's just that this guy is constantly removing relevant information and talking to me through edits instead of my talk page. He seems to care more about the formatting than the actual info.",0.15154139837250113,0,0,0,0,0,0
"You, sir, are my hero. Any chance you remember what page that's on?",0.097245181677863,0,0,0,0,0,0
"""

Congratulations from me as well, use the tools well.  · talk """,0.08548834593966603,0,0,0,0,0,0
COCKSUCKER BEFORE YOU PISS AROUND ON MY WORK,99.70179796218872,1,1,1,0,1,0
"Your vandalism to the Matt Shirvington article has been reverted.  Please don't do it again, or you will be banned.",0.2773554529994726,0,0,0,0,0,0
"Sorry if the word 'nonsense' was offensive to you. Anyway, I'm not intending to write anything in the article(wow they would jump on me for vandalism), I'm merely requesting that it be more encyclopedic so one can use it for school as a reference. I have been to the selective breeding page but it's almost a stub. It points to 'animal breeding' which is a short messy article that gives you no info. There must be someone around with expertise in eugenics? 93.161.107.169",0.1730632153339684,0,0,0,0,0,0
alignment on this subject and which are contrary to those of DuLithgow,0.1050415332429111,0,0,0,0,0,0
"bbq 

be a man and lets discuss it-maybe over the phone?",0.10628423187881708,0,0,0,0,0,0
"Hey... what is it..
@ | talk .
What is it... an exclusive group of some WP TALIBANS...who are good at destroying, self-appointed purist who GANG UP any one who asks them questions abt their ANTI-SOCIAL and DESTRUCTIVE (non)-contribution at WP?

Ask Sityush to clean up his behavior than issue me nonsensical warnings...",97.50603437423706,1,0,0,0,0,0
"Oh, and the girl above started her arguments with me. She stuck her nose where it doesn't belong. I believe the argument was between me and Yvesnimmo. But like I said, the situation was settled and I apologized. Thanks,",0.2807492623105645,0,0,0,0,0,0
"Bye! 

Don't look, come or think of comming back! Tosser.",0.11955359950661659,1,0,0,0,0,0
REDIRECT Talk:Voydan Pop Georgiev- Chernodrinski,0.12770479079335928,0,0,0,0,0,0
The Mitsurugi point made no sense - why not argue to include Hindi on Ryo Sakazaki's page to include more information?,0.07786330534145236,0,0,0,0,0,0
"Don't mean to bother you 

I see that you're writing something regarding removing anything posted here and if you do oh well but if not and you can acctually discuss this with me then even better.

I'd like to ask you to take a closer look at the Premature wrestling deaths catagory and the men listed in it, surely these men belong together in some catagory. Is there anything that you think we can do with the catagory besides delting it?",0.09662892553023994,0,0,0,0,0,0
"""

 Regarding your recent edits 

Once again, please read WP:FILMPLOT before editing any more film articles.  Your edits are simply not good, with entirely too many unnecessary details and very bad writing.  Please stop before you do further damage. -''''''The '45 """,0.1477902173064649,0,0,0,0,0,0
"""
Good to know. About me, yeah, I'm studying now.(Deepu) """,0.09732242906466126,0,0,0,0,0,0
"""

 The Signpost: 24 September 2012 

 Read this Signpost in full
 Single-page
 Unsubscribe
   
""",0.13828802620992064,0,0,0,0,0,0
"Radial symmetry 

Several now extinct lineages included in the Echinodermata were bilateral such as Homostelea, or even asymmetrical such as Cothurnocystis (Stylophora).

-",0.08491582702845335,0,0,0,0,0,0
"There's no need to apologize. A Wikipedia article is made for reconciling knowledge about a subject from different sources, and you've done history studies and not archaeology studies, I guess. I could scan the page, e-mail it to you, and then you could ask someone to translate the page.",0.088591588428244,0,0,0,0,0,0
"Yes, because the mother of the child in the case against Michael Jackson was studied in here motives and reasonings and judged upon her character just as harshly as Wacko Jacko himself.  Don't tell me to ignore it and incriminate myself.  I am going to continue refuting the bullshit that Jayjg keeps throwing at me.   18:01, 16 Jun 2005 (UTC)",97.3619818687439,0,0,0,0,0,0
"""
Ok. But it will take a bit of work but I can't quite picture it. Do you have an example I can base it on?  the Duck """,0.09167311363853514,0,0,0,0,0,0
"""== A barnstar for you! ==

  The Real Life Barnstar lets us be the stars
   """,0.10661940323188901,0,0,0,0,0,0
"How could I post before the block expires?  The funny thing is, you think I'm being uncivil!",0.5606143269687891,0,0,0,0,0,0
Not sure about a heading of 'Fight for Freedom' what will it contain?,0.07847048109397292,0,0,0,0,0,0
"Praise 

looked at this article about 6 months ago -much improved. ]",0.09429703350178897,0,0,0,0,0,0
"""
Well, not """"before the process"""" but """"before how we do things with subpages"""" His RfA is listed on NoSeptember's page and you can find it if you look. September 2004 I think. I have my differences with El_C to be sure, but was surprised to see a block, so I left a note. ++: t/c """,0.08937512175180018,0,0,0,0,0,0
"pretty much everyone from warren county/surrounding regions was born at glens falls hospital. myself included. however, i'm not sure this qualifies anyone as being a glens falls native. rachel ray is, i believe, actually from the town of lake luzerne.  —The preceding unsigned comment was added by 70.100.229.154  04:28:57, August 19, 2007 (UTC)",0.08974582306109369,0,0,0,0,0,0
"Hi Explicit, can you block O Fenian for edit-warring on the Giant's Causeway wp. He has made several edits which can only be described as terrorism.",0.276181916706264,0,0,0,0,0,0
"""
 Sure, but the lead must briefly summarize Armenia's history. I simply added what I found necessary. If anyone thinks this or that sentence is redundant for the lead, they are welcome to remove make edits.  talk  """,0.09117988520301878,0,0,0,0,0,0
"TFD 

I think we just eced. I think we responded to each other without seeing each others responses. I added something in response to yours, but don't know if you saw mine. (T/C//WP:CHICAGO/WP:FOUR)",0.07997448556125164,0,0,0,0,0,0
"FUCK YOUR FILTHY MOTHER IN THE ASS, DRY!",99.7381865978241,1,0,1,0,1,0
"I'm Sorry 

I'm sorry I screwed around with someones talk page.  It was very bad to do.  I know how having the templates on their talk page helps you assert your dominance over them.  I know I should bow down to the almighty administrators.  But then again, I'm going to go play outside....with your mom.   76.122.79.82",0.8093409240245819,1,0,0,0,0,0
"You had a point, and it's now ammended with appropriate encyclopedic notability/significance.",0.08954334771260619,0,0,0,0,0,0
"In other words, you're too lazy to actually point anything out. Until you change that approach, the tag goes.",0.40033250115811825,0,0,0,0,0,0
GET FUCKED UP. GET FUCKEEED UP.  GOT A DRINK THAT YOU CANT PUT DOWN???/ GET FUCK UP GET FUCKED UP.  I'M FUCKED UP RIGHT NOW!,99.73601698875427,1,0,1,0,0,0
Are you threatening me for disputing neutrality? I know in your country it's quite common to bully your way through a discussion and push outcomes you want. But this is not Russia.,0.7904729805886745,0,0,0,0,0,0
Awesome! Then I'll simply disregard your notice. Thanks!,0.08462414261884987,0,0,0,0,0,0
Stupid peace of shit stop deleting my stuff asshole go die and fall in a hole go to hell!,99.73565340042114,1,1,1,0,1,0
=Tony Sidaway is obviously a fistfuckee. He loves an arm up his ass.,99.72960352897644,1,0,1,0,1,0
